report_id,contaminant,authorization,limit,amount_released
207108,Carbon Monoxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 & Permit 19806,1200.0 bbls,3414.0 lbs (est.)
207108,Nitrogen Oxides,Initial Air Start-Up Notification #207108 Dated 12/04/2014 & Permit 19806,1250.0 lbs,3538.0 lbs (est.)
207108,Particulate Matter,Initial Air Start-Up Notification #207108 Dated 12/04/2014 & Permit 19806,300.0 lbs,879.0 lbs (est.)
207108,Sulfur dioxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 & Permit 19806,25.0 lbs,69.0 lbs (est.)
207108,VOCs,Initial Air Start-Up Notification #207108 Dated 12/04/2014 & Permit 19806,225.0 lbs,636.0 lbs (est.)
207108,"Ammonia, anhydrous",Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,3150.0 lbs,871.0 lbs (est.)
207108,Carbon Monoxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,7300.0 lbs,22426.0 lbs (est.)
207108,Nitrogen Oxides,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,7000.0 lbs,17764.0 lbs (est.)
207108,Particulate Matter,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,2100.0 lbs,2188.0 lbs (est.)
207108,Sulfur dioxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,6750.0 lbs,436.0 lbs (est.)
207108,VOCs,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,1500.0 lbs,3710.0 lbs (est.)
207108,"Ammonia, anhydrous",Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,1900.0 lbs,501.0 lbs (est.)
207108,Carbon Monoxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,3700.0 lbs,123.0 lbs (est.)
207108,Nitrogen Oxides,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,7150.0 lbs,5852.0 lbs (est.)
207108,Particulate Matter,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,1300.0 lbs,3857.0 lbs (est.)
207108,Sulfur dioxide,Initial Air Start-Up Notification #207108 Dated 12/04/2014 and Permit 19806,2900.0 lbs,9.0 lbs (est.)
