report_id,contaminant,authorization,limit,amount_released
265500,Sewage,,0.0,9100.0 gals (est.)
265502,Sewage,,0.0,0.00001 gals (est.)
265503,Sewage,,0.0,0.00001 gals (est.)
265504,Sewage,,0.0,11000.0 gals (est.)
265505,Sewage,,0.0,0.00001 gals (est.)
265507,Sewage,,0.0,0.00001 gals (est.)
265509,Sewage,,0.0,2.0 gals (est.)
265510,Sewage,,0.0,0.00001 gals (est.)
265512,Sewage,,0.0,300.0 gals (est.)
265513,Sewage,,0.0,200.0 gals (est.)
265514,Sewage,,0.0,300.0 gals (est.)
265515,Sewage,,0.0,0.00001 gals (est.)
265517,Sewage,,0.0,0.00001 gals (est.)
265518,Sewage,,0.0,0.00001 gals (est.)
265520,Sewage,,0.0,209.0 gals (est.)
265521,Sewage,,0.0,26700.0 gals (est.)
265522,Sewage,,0.0,54000.0 gals (est.)
265523,Sewage,,0.0,1.0 gals (est.)
265525,Sewage,,0.0,0.00001 gals (est.)
265526,Sewage,,0.0,0.00001 gals (est.)
265528,DIESEL OIL #2/GUAR GUM,,25.0 gals,40.0 gals
265532,Sewage,,0.0,0.00001 gals (est.)
265534,Sewage,,0.0,616.0 gals (est.)
265535,Sewage,,0.0,209.0 gals (est.)
265536,Sewage,,0.0,0.00001 gals (est.)
265537,Sewage,,0.0,0.00001 gals (est.)
265538,Sewage,,0.0,693.0 gals (est.)
265539,Sewage,,0.0,0.00001 gals (est.)
265540,MUDDY WATER,,0.0,Unknown
265541,Sewage,,0.0,0.00001 gals (est.)
265542,Carbon Monoxide,29133,0.0,211.0 lbs (est.)
265542,Hydrogen Sulfide,29133,0.0,43.0 lbs (est.)
265542,NOX,29133,0.0,25.0 lbs (est.)
265542,Non-Methane Non-Ethane Natural Gas,29133,0.0,225.0 lbs (est.)
265542,Sulfur dioxide,29133,0.0,3945.0 lbs (est.)
265543,Sewage,,0.0,562.0 gals (est.)
265544,Sewage,,0.0,807.0 gals (est.)
265545,Sewage,,0.0,0.00001 gals (est.)
265546,Sewage,,0.0,331.0 gals (est.)
265547,Sewage,,0.0,0.00001 gals (est.)
265548,Sewage,,0.0,0.00001 gals (est.)
265549,Sewage,,0.0,227.0 gals (est.)
265550,Sewage,,0.0,1.0 gals (est.)
265551,"Butane, N-",Air Permit # 53243,0.001 lbs,250.0 lbs (est.)
265551,Carbon Monoxide,Air Permit # 53243,0.001 lbs,435.0 lbs (est.)
265551,Hexanes,Air Permit # 53243,0.001 lbs,114.0 lbs (est.)
265551,Hydrogen Sulfide,Air Permit # 53243,0.001 lbs,29.0 lbs (est.)
265551,Isobutane,Air Permit # 53243,0.001 lbs,72.0 lbs (est.)
265551,NOX,Air Permit # 53243,0.001 lbs,218.0 lbs (est.)
265551,"Pentane, N-",Air Permit # 53243,0.001 lbs,93.0 lbs (est.)
265551,Propane,Air Permit # 53243,0.001 lbs,481.0 lbs (est.)
265551,Sulfur dioxide,Air Permit # 53243,0.001 lbs,2773.0 lbs (est.)
265551,"pentane, iso-",Air Permit # 53243,0.001 lbs,64.0 lbs (est.)
265554,CO,NSR Permit 46396,39.53 LBS/HR,22.72 lbs (est.)
265554,Hydrogen Sulfide,NSR Permit 46396,0.03 LBS/HR,1.3 lbs (est.)
265554,NOX,NSR Permit 46396,6.4 LBS/HR,4.4 lbs (est.)
265554,Other material,NSR Permit 46396 (as PM2.5),2.5 LBS/HR,0.97 lbs (est.)
265554,PM10,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.)
265554,Particulate Matter,NSR Permit 46396,2.5 LBS/HR,0.97 lbs (est.)
265554,Sulfur dioxide,NSR Permit 46396,55.31 LBS/HR,2506.67 lbs (est.)
265554,VOC,NSR Permit 46396,0.43 LBS/HR,0.5 lbs (est.)
265555,"Butane, N-",Air Permit # 33555,0.001 lbs,182.0 lbs (est.)
265555,"Butane, i",Air Permit # 33555,0.001 lbs,64.0 lbs (est.)
265555,Carbon Monoxide,Air Permit # 33555,0.001 lbs,651.0 lbs (est.)
265555,Hydrogen Sulfide,Air Permit # 33555,0.001 lbs,62.0 lbs (est.)
265555,NOX,Air Permit # 33555,0.001 lbs,326.0 lbs (est.)
265555,"Pentane, N-",Air Permit # 33555,0.001 lbs,53.0 lbs (est.)
265555,Propane,Air Permit # 33555,0.001 lbs,565.0 lbs (est.)
265555,Sulfur dioxide,Air Permit # 33555,0.001 lbs,5881.0 lbs (est.)
265555,hexanes +,Air Permit # 33555,0.001 lbs,58.0 lbs (est.)
265555,"pentane, iso-",Air Permit # 33555,0.001 lbs,39.0 lbs (est.)
265559,VOCs,No Authorization,0.0,3472.3 lbs (est.)
265562,Hydrogen Sulfide,NRSP 134641,0.0,0.19 lbs (est.)
265562,NATURAL GAS,NRSP 134641,0.0,15800.1 lbs (est.)
265563,Sulfur dioxide,,0.0,Unknown
265567,1-Butene + Isobutylene,0.30 lbs of total 0.54 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,0.23 lbs (est.)
265567,"Butane, N-",70.07 lbs of 123.07 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,53.0 lbs (est.)
265567,Carbon Monoxide,185.39 lbs of total 2082.97 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,3736.48 LBS/HR,1897.58 lbs (est.)
265567,Ethylene,0.047 lbs of total 0.083 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,0.036 lbs (est.)
265567,Hydrogen Sulfide,.15 lbs of total 23.99 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,15.78 LBS/HR,23.84 lbs (est.)
265567,Isobutane,40.74 lbs of 71.57 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,30.82 lbs (est.)
265567,Nitrogen Oxides (NOx),36.38 lbs of total 408.78 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,1747.18 LBS/HR,372.4 lbs (est.)
265567,Propane,46.77 lbs of total 82.15 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,35.38 lbs (est.)
265567,Propylene,0.46 lbs of total 0.81 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,0.35 lbs (est.)
265567,Sulfur dioxide,14.0 lbs of total 2332.29 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,3242.67 LBS/HR,2318.29 lbs (est.)
265567,Trans-2-butene,0.001 lbs of total 0.002 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,0.001 lbs (est.)
265567,VOC( unspeciated),427.83 lbs of total 751.48 lbs authorized under Permit #18287/PSD-TX-730M4/PAL7,6117.32 LBS/HR,323.65 lbs (est.)
265574,Sewage,,0.0,50.0 gals (est.)
265575,Sewage,,0.0,30.0 gals (est.)
265577,Sewage,,0.0,227.0 gals (est.)
265578,Opacity,7369,10.0 % op,32.3 % op (est.)
265579,Sewage,,0.0,300.0 gals (est.)
265580,"Butane, N-",NRSP 116553,0.0,0.1 lbs (est.)
265580,Carbon Monoxide,NRSP 116553,0.0,1.9 lbs (est.)
265580,Hexane Plus,NRSP 116553,0.0,0.2 lbs (est.)
265580,Hydrogen Sulfide,NRSP 116553,0.0,8.52 lbs (est.)
265580,Nitrogen Oxides,NRSP 116553,0.0,0.2 lbs (est.)
265580,Sulfur dioxide,NRSP 116553,0.0,784.08 lbs (est.)
265580,"Butane, N-",NRSP 116553,0.0,0.8 lbs (est.)
265580,Carbon Monoxide,NRSP 116553,0.0,395.3 lbs (est.)
265580,Hexane Plus,NRSP 116553,0.0,0.2 lbs (est.)
265580,Isobutane,NRSP 116553,0.0,0.5 lbs (est.)
265580,Isopentane,NRSP 116553,0.0,0.2 lbs (est.)
265580,Nitrogen Oxides,NRSP 116553,0.0,198.0 lbs (est.)
265580,"Pentane, N-",NRSP 116553,0.0,0.2 lbs (est.)
265580,Propane,NRSP 116553,0.0,9.9 lbs (est.)
265581,Sewage,,0.0,0.00001 gals (est.)
265582,Sewage,,0.0,30.0 gals (est.)
265583,Sewage,,0.0,15.0 gals (est.)
265588,Carbon Monoxide,N/A,0.0,99.027 lbs (est.)
265588,Hydrogen Sulfide,N/A,0.0,72.532 lbs (est.)
265588,NATURAL GAS,N/A,0.0,399.611 lbs (est.)
265588,Nitrogen oxide,N/A,0.0,99.027 lbs (est.)
265588,Sulfur dioxide,N/A,0.0,6542.377 lbs (est.)
265590,REFINED OIL,,0.0,400.0 gals
265593,Sewage,,0.0,0.00001 gals (est.)
265595,Sulfur dioxide,,0.0,1200.0 lbs (est.)
265599,Sewage,,0.0,0.00001 gals (est.)
265600,Sewage,,0.0,0.00001 gals (est.)
265601,Sewage,,0.0,0.00001 gals (est.)
265603,Sewage,,0.0,716.0 gals (est.)
265604,Benzene,No specific authorization for this facility,0.0,0.059 lbs (est.)
265604,Carbon Monoxide,No specific authorization for this facility,0.0,488.286 lbs (est.)
265604,Ethylene (gaseous),No specific authorization for this facility,0.0,3.792 lbs (est.)
265604,Hydrogen Sulfide,No specific authorization for this facility,0.0,0.516 lbs (est.)
265604,Oxides of Nitrogen (NOx),No specific authorization for this facility,0.0,72.448 lbs (est.)
265604,Pentanes,No specific authorization for this facility,0.0,0.197 lbs (est.)
265604,Propane,No specific authorization for this facility,0.0,26.434 lbs (est.)
265604,Propylene,No specific authorization for this facility,0.0,565.386 lbs (est.)
265604,Sulfur dioxide,No specific authorization for this facility,0.0,2.195 lbs (est.)
265607,NATURAL GAS,Not on PBR,0.0,9383.74 lbs (est.)
265617,Diesel fuel,,0.0,60.0 gals (est.)
265627,Sewage,,0.0,7875.0 gals (est.)
265628,Sewage,,0.0,0.00001 gals (est.)
265631,Sewage,,0.0,152.0 gals (est.)
265633,Sewage,,0.0,1490.0 gals (est.)
265635,Carbon Monoxide,NA,0.0,306.57 lbs (est.)
265635,H2S,NA,0.0,19.659 lbs (est.)
265635,NOX,NA,0.0,76.98 lbs (est.)
265635,Sulfur dioxide,NA,0.0,1850.26 lbs (est.)
265635,VOC - NONMETHANE,NA,0.0,7.61 lbs (est.)
265636,Sewage,,0.0,224.0 gals (est.)
265638,Sewage,,0.0,0.00001 gals (est.)
265639,Sewage,,0.0,0.00001 gals (est.)
265640,Sewage,,0.0,0.00001 gals (est.)
265641,Sewage,,0.0,5.0 gals (est.)
265643,Carbon Monoxide,R-8986,0.01 LBS/HR,87.28 lbs (est.)
265643,Hydrogen Sulfide,R-8986,0.01 LBS/HR,7.61 lbs (est.)
265643,Nitrogen Oxides,R-8986,0.01 LBS/HR,42.49 lbs (est.)
265643,Opacity,R-8986,20.0 % op,20.0 % op (est.)
265643,Sulfur dioxide,R-8986,0.01 LBS/HR,715.13 lbs (est.)
265643,VOC - NONMETHANE,R-8986,0.01 LBS/HR,41.7 lbs (est.)
265643,Carbon Monoxide,Permit No. R-8986,23.62 LBS/HR,124.01 lbs (est.)
265643,Hydrogen Sulfide,Permit No. R-8986,0.41 LBS/HR,28.42 lbs (est.)
265643,Nitrogen Oxides,Permit No. R-8986,3.87 LBS/HR,20.32 lbs (est.)
265643,Opacity,Permit No. R-8986,20.0 % op,45.0 % op (est.)
265643,PM10,Permit No. R-8986,0.16 LBS/HR,0.84 lbs (est.)
265643,Sulfur dioxide,Permit No. R-8986,37.63 LBS/HR,2671.31 lbs (est.)
265643,VOC - NONMETHANE,Permit No. R-8986,0.12 LBS/HR,0.63 lbs (est.)
265646,VOC GAS MIXTURE,N/A,0.0,70000.0 lbs (est.)
265646,VOC GAS MIXTURE,N/A,0.0,100000.0 lbs (est.)
265653,Ethanol,,0.0,1000.0 gals (est.)
265657,Decanes/C10 Hydrocarbons,NSR 21262,0.0,17.42 lbs (est.)
265657,Dodecanes/C12 Hydrocarbons,NSR 21262,0.0,29.47 lbs (est.)
265657,Henicosanes/C21+ Hydrocarbons,NSR 21262,0.0,169.64 lbs (est.)
265657,Heptadecanes/C17 Hydrocarbons,NSR 21262,0.0,24.28 lbs (est.)
265657,Heptanes/C7 Hydrocarbons,NSR 21262,0.0,0.42 lbs (est.)
265657,Hexadecanes/C16 Hydrocarbons,NSR 21262,0.0,25.08 lbs (est.)
265657,Icosanes/C20 Hydrocarbons,NSR 21262,0.0,20.92 lbs (est.)
265657,Nonadecanes/C19 Hydrocarbons,NSR 21262,0.0,14.65 lbs (est.)
265657,Nonanes/C9 Hydrocarbons,NSR 21262,0.0,7.8 lbs (est.)
265657,Octadecanes/C18 Hydrocarbons,NSR 21262,0.0,30.83 lbs (est.)
265657,Octanes/C8 Hydrocarbons,NSR 21262,0.0,2.46 lbs (est.)
265657,Pentadecanes/C15 Hydrocarbons,NSR 21262,0.0,34.32 lbs (est.)
265657,Tetradecanes/C14 Hydrocarbons,NSR 21262,0.0,34.78 lbs (est.)
265657,Tridecanes/C13 Hydrocarbons,NSR 21262,0.0,33.79 lbs (est.)
265657,Undecanes/C11 Hydrocarbons,NSR 21262,0.0,22.59 lbs (est.)
265658,Benzene,NRSP #135396,10.0 TONS/YR,64.11 lbs (est.)
265658,Butane,NRSP #135396,25.0 TONS/YR,24.46 lbs (est.)
265658,Cyclohexane,NRSP #135396,10.0 LBS/HR,4.22 lbs (est.)
265658,Ethylbenzene,NRSP #135396,10.0 TONS/YR,9.86 lbs (est.)
265658,Heptane (or n-),NRSP #135396,25.0 TONS/YR,0.39 lbs (est.)
265658,Hexane,NRSP #135396,25.0 TONS/YR,3.84 lbs (est.)
265658,Hydrogen Sulfide,NRSP #135396,0.0,25.44 lbs (est.)
265658,Pentane,NRSP #135396,25.0 TONS/YR,6.65 lbs (est.)
265658,Propane,NRSP #135396,25.0 TONS/YR,47.09 lbs (est.)
265658,Toluene,NRSP #135396,10.0 TONS/YR,33.74 lbs (est.)
265658,Xylene (mixed isomers),NRSP #135396,10.0 TONS/YR,26.74 lbs (est.)
265659,"1,3-BUTADIENE",NSR 107153,0.0,100.0 lbs (est.)
265659,Benzene,NSR 107153,0.0,30.0 lbs (est.)
265659,Carbon Monoxide,NSR 107153,0.0,63000.0 lbs (est.)
265659,Ethylene (gaseous),NSR 107153,0.0,5000.0 lbs (est.)
265659,Nitrogen Oxides (NOx),NSR 107153,0.0,33000.0 lbs (est.)
265659,Propylene,NSR 107153,0.0,3600.0 lbs (est.)
265660,Opacity,NSR Permit 812,20.0 % op,100.0 % op (est.)
265661,"Butane, N-",Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265661,"Butane, i",Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265661,Carbon Monoxide,Air New Source Registration 113906,45.31507 lbs,0.001 lbs (est.)
265661,Hexanes,Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265661,Hydrogen Sulfide,Air New Source Registration 113906,2.19178 lbs,0.001 lbs (est.)
265661,NOX,Air New Source Registration 113906,46.84931 lbs,0.001 lbs (est.)
265661,"Pentane, N-",Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265661,Propane,Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265661,Sulfur dioxide,Air New Source Registration 113906,30.41096 lbs,0.001 lbs (est.)
265661,"pentane, iso-",Air New Source Registration 113906,0.001 lbs,0.001 lbs (est.)
265664,Sewage,,0.0,250.0 gals (est.)
265665,Sewage,,0.0,40.0 gals (est.)
265667,Carbon Monoxide,TCEQ AIR PERMIT NO. 9288,0.27 LBS/HR,8207.0 lbs (est.)
