Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
"During start-up activities, TPC Operators and Engineering personnel were supported by a team of subject matter experts from the various manufacturers of key equipment. During final tuning (April 16-18), operating parameters were optimized for reduction of NOx and CO emissions.","Reconstruction of the Dehydrogenation Unit #2 (DH-2) at TPC Group (TPC) in Houston was authorized under amendment to NSR Permit 19806 on 12/17/2013. The Initial Air Startup of the DH-2 Unit was delayed by mechanical issues until February 1, 2015. Additional delays during start-up necessitated extension of startup activity. Total emissions exceeded those estimated in the initial air start up notification dated December 4, 2014.","HOUSTON, HARRIS",CEMS units and engineering calculations were used to determine actual emissions during the start-up period.,02/01/2015,04/19/2015 1:00AM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,207108
"Enterprise recovered as much hydrocarbon as possible from process vessels, equipment, and piping prior to clearing with nitrogen to the flares. The flares were maintained and operated to ensure good combustion of the remaining hydrocarbons.",Enterprise conducted maintenance in the Splitter III unit. Flaring was intermittent for the duration of the maintenance activities.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",12/05/2014 10:00AM,01/16/2015 8:00AM,,RN102984911,ENTERPRISE EAST,FINAL REPORT,MAINTENANCE,207120
EU-1592 and U-1092 followed shutdown procedures which includes minimization of flaring.,The EU-1592 and U-1092 units were shutdown for maintenance.,"BAYTOWN, HARRIS","On-line flare instrumentation, sampling and engineering calculations were used to determine emissions. Flare CB-710 emissions are authorized via NSR 1504A. Initial report’s speciation of emissions was a best engineering estimate, but final composition of emissions varied. Chevron Phillips controlled to total VOC emissions.",01/06/2015 4:00PM,01/26/2015 5:00PM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,AIR SHUTDOWN,207729
"The derivative and polyethylene unit purge gas streams where possible were routed to the process boilers (BF-801A/B/C) which is authorized in NSR permit 1504A. The purge gas streams that were routed to the individual unit’s flares or a combination of flares were authorized in the NSR permit 37063. The hydroblast slab, temporary tanks and MSS fugitive release amounts were authorized under the NSR permits 83791 and/or 1504A.","This Maintenance Notice is being retracted because the emissions are authorized under NSR 1504A, 83791 and 37063 NSR permits. The EU-1592 and U-1092 units underwent scheduled maintenance activities.","BAYTOWN, HARRIS","On-line flare instrumentation, measurements and engineering calculations were used to determine the emissions. This Maintenance Notice is being retracted because the emissions are authorized.",01/12/2015 8:00AM,02/11/2015 1:30PM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,MAINTENANCE,207732
Proceeded through startup as quickly as possible to minimize flaring. Flares were used to minimize emissions.,Emissions associated with Start-up of the plant after planned maintenance.,"FREEPORT, BRAZORIA",Flare and cooling tower flowmeters and analyzers and AP-42 calculations.,01/08/2015 7:00AM,01/11/2015 6:00AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,AIR STARTUP,207797
There were no maintenance emissions associated with this event.,Chevron Phillips is retracting this maintenance notification. Pressure sphere FA-702A was not taken out of service for maintenance.,"BAYTOWN, HARRIS",Chevron Phillips is retracting this maintenance notification. There were no maintenance emissions associated with this event. Duration was noted as one minute because STEERS report would not allow a zero.,01/05/2015 6:00AM,01/05/2015 6:01AM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,MAINTENANCE,207807
The process of refilling the tank was continuous and accomplished as rapidly as possible until the roof was no longer resting on the leg supports.,"On January 13, 2015 at approximately 20:57 hours. Flint Hills Resources Port Arthur, LLC (FHR) began refilling Tank 34030, an External Floating Roof Tank. The tank has been out of service for maintenance. This maintenance notification is for the vapor space that was displaced during the refilling of Tank 34030 until the roof is floated on the liquid surface. Although this tank is owned by FHR, and operated by Koch Pipeline (KPL), it is located at the Oiltanking Port Neches, LLC facility in Port Neches, 100 East Port Neches Avenue, Port Neches, Texas 77652. FHR’s Tank 34030, is authorized under Flexible Permit No. 16989, RN100217389, and Air Account No. JE-0135-Q.","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, estimated duration, and engineering calculations. Emissions of benzene are estimated to have exceeded a federal RQ for a 24-hour period. Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, the release began on January 13, 2015 at about 20:57 hours. The release ended on January 17, 2015 at about 04:00 hours. For the purpose of this report, the duration for this event was 79 hours and 3 minutes. This initial notification was filed more than 10 days prior to the planned maintenance event, in accordance with 30 TAC §101.211(a). In accordance to applicable regulations and guidelines, the National Response Center (NRC) and the Texas State Emergency Response Commission (SERC) were notified as indicated below. NRC# 1105557, P.O. Post, 01/13/2015 13:05 hours, SERC# 20150175, Jeri Henderson, 01/13/2015 13:08 hours, NRC# 1105639, P.O. Hill, 01/14/2015 13:04 hours SERC# Directed to call TCEQ for update, Jeri Henderson, 01/14/2015 13:15 hours TCEQ Region 10 Dave Latourneau 01/14/2015 13:22 hours NRC# 1105731, P.O. Hill, 01/15/2015 13:13 hours TCEQ Region 10 Dave Latourneau 01/15/2015 NRC# 1105815, P.O. Ennis, 01/16/2015 13:00 hours TCEQ Region 10 Dave Latourneau 01/16/2015 13:05 hours",01/13/2015 8:57PM,01/17/2015 4:00AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,MAINTENANCE,207866
No emissions over permit limit.,No emissions over permit limit.,"FREEPORT, BRAZORIA",No emissions over permit limit.,01/01/2015 8:00AM,01/01/2015 8:01AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,AIR STARTUP,207912
Unit will be started up safely and as quickly as possible. Emissions will be routed to flare.,Start up activity with intermittent smoking as a result from STEERS notification 207873.,"PORT ARTHUR, JEFFERSON",Engineering Calculations,12/31/2014 8:00AM,01/06/2015 3:00AM,WEST OF PORT ARTHUR TEXAS ON STATE HWY 87 TOWARD SABINE PASS,RN100209857,CHEVRON PHILLIPS CHEMICAL PORT ARTHUR FACILITY,FINAL REPORT,AIR SHUTDOWN,207913
Routed streams to authorized control device and shutdown the Hydrocracker unit for repairs.,Venting to the Complex 8Q HCU Flare was due to an upset caused by a Hydrocracker makeup compressor spillback control valve failure resulting in high reactor bed temperatures setting off a unit automatic depressurization.,"CORPUS CHRISTI, NUECES",Engineering calculations based on data from the units.,12/31/2014 11:30PM,01/03/2015 11:05PM,1300 CANTWELL LANE,RN100211663,VALERO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,207967
