Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
,Unauthorized discharge at 150 Persimmon Manhole. Due to power outage. 9100 Gallons.,"BAYTOWN, HARRIS",,08/10/2017 8:43PM,08/10/2017 11:45PM,,RN101611457,EAST DISTRICT,FINAL REPORT,WASTEWATER BYPASS,265500
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected;,"HOUSTON, HARRIS",,08/04/2017,08/04/2017,,RN101607596,BELTWAY WWTP,FINAL REPORT,WASTEWATER BYPASS,265502
,Scheduled for Further Repairs;,"HOUSTON, HARRIS",,08/04/2017,08/04/2017,,RN101612158,FWSD 23 WWTP,FINAL REPORT,WASTEWATER BYPASS,265503
,"Unauthorized Discharge at 1016 Applewood manhole. Due to Grease. 11,000 Gallons.","FRIENDSWOOD, HARRIS",,08/14/2017 7:00PM,08/14/2017 10:00PM,,RN102183340,BLACKHAWK REGIONAL WTP,FINAL REPORT,WASTEWATER BYPASS,265504
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected;,"HOUSTON, HARRIS",,08/04/2017,08/04/2017,"9400 White Chapel Ln, Houston, TX",RN101614113,KEEGANS BAYOU WWTP,FINAL REPORT,WASTEWATER BYPASS,265505
,Chlorinated Excursion; Cleared Private Line; Cleaned and Disinfected; Cleared the service line of grease.,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265507
,Scheduled for Further Repairs;,"HOUSTON, HARRIS",,08/04/2017 10:00AM,08/04/2017 10:00AM,,RN101611069,TIDWELL TIMBERS,FINAL REPORT,WASTEWATER BYPASS,265509
,Scheduled for Further Repairs; A work order has been created and pending dispatch for a stoppage mitigation team,"HOUSTON, HARRIS",,08/07/2017,08/07/2017,,RN100217603,PWE WWTP 69TH STREET,FINAL REPORT,WASTEWATER BYPASS,265510
,"The unauthorized discharged occurred at the coordinates of N32.23'59.22"" W100.51'41.68"" and was due to grease blockage. The blockage was cleared and the main was treated with degreaser.","COLORADO CITY, MITCHELL",,07/25/2017 11:00AM,07/25/2017 11:22AM,"located approximately 1.7 miles east of the intersection of State Highway 163 and FM 1229 in Mitchell County. 101 Mitchell Rd., Colorado City.",RN102182557,CITY OF COLORADO CITY WWTP,FINAL REPORT,WASTEWATER BYPASS,265512
,"The unauthorized discharge occurred at the coordinates of N32.24'3.19"" W100.51'41.47"". The blockage was cleared and the main was treated with degreaser.","COLORADO CITY, MITCHELL",,07/31/2017 2:15PM,07/31/2017 2:45PM,"located approximately 1.7 miles east of the intersection of State Highway 163 and FM 1229 in Mitchell County. 101 Mitchell Rd., Colorado City.",RN102182557,CITY OF COLORADO CITY WWTP,FINAL REPORT,WASTEWATER BYPASS,265513
